Раздел,Функция,Chrome 132.0.6834.160 + Windows 11 26100.36.0 (разрешение 2560x1440),Yandex 25.2.0.2123 (64-bit) + Windows 11 26100.36.0 (разрешение 2560x1440),Chrome 132.0.6834.100 + IPadOS 18.1.1 (22B91) (разрешение 2360x1640),Safari 18.1.1 + IPadOS 18.1.1 (22B91) (разрешение 2360x1640)
Авторизация,,,,,
,Возможность зарегестрироваться,ОК,ОК,ОК,ОК
,Возможность авторизоваться,ОК,ОК,ОК,ОК
Развертывание боковой панели и его функционал,,,,,
,Возможность просмотра боковой панели,ОК,ОК,ОК,ОК
,Возможность прокрутки боковой панели,ОК,ОК,ОК,ОК
,Активные ссылки на соц-сети,ОК,ОК,ОК,ОК
,Рабочие ссылки по тегам,ОК,ОК,ОК,ОК
,Возможность входа,ОК,ОК,ОК,ОК
,"Скрытие боковой панели ""Свайпом в сторону""",FAIL,FAIL,FAIL,FAIL
,"Скрытие боковой панели ""Кликом"" по пустому месту",ОК,ОК,ОК,ОК
Чтение основной страницы,,,,,
,"Скролл боковой ленты новостей вкладки ""главное""",FAIL,FAIL,ОК,ОК
,Скролл общей информации на странце,ОК,ОК,ОК,ОК
,Рабочие ссылки на статьи ,ОК,ОК,ОК,ОК
Шапка сайта,,,,,
,"Активность кнопки ""Лента добра""",ОК,ОК,ОК,ОК
,"Активность кнопки ""Игры""",ОК,ОК,ОК,ОК
,"Закрытие вкладки ""Игры"" и отбражение крестика",ОК,ОК,FAIL,ОК