Тест Кейс №/ID,TC-RT-006,
Проект,https://b2c.passport.rt.ru/account_b2c/page,
Компонент,Восстановления пароля,
Дата,09.03.2025,
Тестировщик,Андреев Александр QAM-66,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Восстановление пароля по SMS.,
Описание:,Успешная восстановление пароля по SMS.,
Предусловия:,Открыт сайт восстановлением Ростелеком ID,
Тестовые данные:,https://b2c.passport.rt.ru/auth/realms/b2c/login-actions/reset-credentials?client_id=account_b2c&tab_id=_xKx61UpUkc,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыта главная страница входа,Сайт загружен.
2,"Нажимаем на ссылку ""Забыли пароль""",Открыто окно восстановления пароля
3,"Во вкладке ""Восстановления пароля"" вводим свой мобильный телефон",Номер телефона введен
4,Вводим капчу ,Капча успешна введена 
5,Нажимаем продолжить,Открыта форма выбора email или Телефон
6,Выбираем телефон и нажимаем отправить,Переадресация на страницу ввода кода и отправка его на телефон
7,Вводим полученный код,"Успешная переадресация на форму ""Восстановления пароля"""
8,Вводим новый пароль в полях и соблюдаем правила приписанные сверху,"Успешная переадресация на форму ""Восстановления пароля"""
9,"Успешное восстановление пароля, и переадресация на стартовую страницу",Пароль успешно восстановлен